danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
0.556,0.188,8,-12.161,1,0.0316,0.494,0.119,0.184,138.091,145217,4,9,
0.548,0.711,10,-8.44,1,0.107,0.542,0.355,0.618,119.675,4.015633333,3,0,
0.867,0.517,11,-13.222,0,0.0875,0.00456,0.0864,0.866,133.148,257360,4,9,
0.341,0.47,5,-10.144,1,0.037,0.226,0.518,0.203,144.109,204280,4,1,
0.733,0.726,7,-6.514,1,0.0371,0.379,0.471,0.915,120.814,197160,4,8,
0.696,0.661,6,-5.996,1,0.0877,0.00103,0.114,0.397,121.032,180822,4,6,
0.517,0.848,10,-4.054,1,0.0521,0.00581,0.214,0.429,95.906,188779,4,9,
0.437,0.948,5,-4.287,0,0.092,0.000234,0.0876,0.517,170.023,180293,4,6,
0.384,0.974,1,-3.647,0,0.141,0.000153,0.226,0.155,194.842,247370,4,8,
0.858,0.525,,-7.332,1,0.148,0.0443,0.197,0.351,170.875,193962,4,5,
0.297,0.0958,,-20.316,1,0.0384,0.844,0.126,0.296,80.672,3.503783333,4,7,
0.516,0.948,2,-3.994,1,0.0644,0.0279,0.15,0.957,170.087,130329,4,1,
0.32,0.242,,-15.17,1,0.0422,0.941,0.165,0.431,81.09,2.817633333,4,7,
0.661,0.407,4,-9.283,1,0.0412,0.713,0.115,0.337,127.873,216695,4,9,
0.569,0.751,7,-12.826,1,0.0418,0.365,0.0561,0.758,105.156,338292,4,2,
0.357,0.977,1,-6.489,0,0.124,0.000016,0.105,0.28,159.81,233929,4,8,
0.615,0.657,7,-6.873,1,0.029,0.000372,0.132,0.792,109.95,185093,4,10,
0.479,0.444,,-6.497,1,0.0316,0.857,0.141,0.236,107.915,174242,4,9,
0.633,0.831,4,-5.053,1,0.0461,0.0401,0.117,0.243,127.397,354360,4,10,
0.618,0.438,11,-7.495,1,0.0762,0.407,0.5,0.651,155.014,209307,4,6,
0.881,0.546,7,-9.357,1,0.0407,0.0532,0.0497,0.852,102.814,320413,4,6,
0.624,0.528,9,-9.103,0,0.0344,0.0286,0.0866,0.33,120.049,285933,4,10,
0.607,0.503,2,-7.406,1,0.0703,0.446,0.173,0.473,135.606,205040,4,9,
0.799,0.789,,-8.208,1,0.0395,0.0595,0.0338,0.831,116.083,333520,4,10,
0.494,0.0634,2,-19.203,1,0.044,0.984,0.11,0.15,78.227,3.014916667,4,7,
0.52,0.642,9,-7.546,1,0.0434,0.000517,0.0794,0.449,88.967,180968,4,10,
0.595,0.759,11,-4.245,0,0.0423,0.141,0.172,0.515,80.953,163733,4,9,
0.523,0.441,5,-9.928,1,0.0311,0.465,0.365,0.49,171.246,3.385116667,4,0,
0.566,0.943,,-10.359,1,0.123,0.00488,0.728,0.324,117.813,403027,4,10,
0.612,0.86,8,-9.175,1,0.044,0.00253,0.158,0.687,136.212,196467,4,1,
0.63,0.446,1,-8.9,1,0.0351,0.337,0.166,0.177,143.078,202193,4,5,
0.521,0.532,9,-11.492,0,0.0357,0.563,0.386,0.326,95.19,180533,4,9,
0.501,0.474,2,-13.893,1,0.0299,0.608,0.147,0.281,102.404,352267,4,10,
0.185,0.865,9,-10.522,1,0.0576,0.000632,0.112,0.0789,84.031,207465,3,6,
0.532,0.685,4,-6.577,0,0.0318,0.0208,0.303,0.648,140.036,288071,4,2,
0.415,0.94,,-4.874,1,0.0889,0.0049,0.144,0.439,134.392,225627,4,1,
0.425,0.403,4,-9.343,0,0.0273,0.0792,0.113,0.135,155.761,323931,4,10,
0.373,0.707,1,-9.566,0,0.0562,0.668,0.361,0.75,89.1,3.578883333,4,3,
0.39,0.646,6,-3.961,1,0.0372,0.0904,0.114,0.271,120.755,213677,4,10,
0.439,0.795,2,-9.424,1,0.0314,0.00407,0.296,0.789,84.846,212067,4,6,
0.827,0.532,2,-4.775,1,0.302,0.0219,0.127,0.694,87.257,290440,4,5,
0.709,0.685,2,-7.573,1,0.0281,0.0355,0.0389,0.7,129.987,194567,4,1,
0.583,0.143,,-15.786,1,0.148,0.676,0.117,0.533,156.009,371496,3,2,
0.704,0.579,6,-9.331,1,0.418,0.287,0.139,0.712,142.815,176667,4,5,
0.247,0.88,2,-3.057,1,0.097,0.0000201,0.122,0.333,134.445,237493,4,10,
0.801,0.637,,-6.406,1,0.0565,0.169,0.0925,0.769,77.012,218360,4,2,
0.539,0.578,4,-8.522,1,0.0278,0.0987,0.28,0.353,102.03,191890,4,10,
0.907,0.695,11,-6.268,0,0.135,0.246,0.0808,0.961,101.007,298307,4,5,
0.667,0.636,8,-5.669,1,0.082,0.022,0.0908,0.152,158.058,151891,4,10,
0.436,0.944,10,-7.981,1,0.0398,0.0035,0.105,0.588,110.002,307545,4,6,
0.366,0.662,4,-4.914,1,0.034,0.00261,0.0594,0.362,148.34,284000,3,10,
0.777,0.71,,-4.717,1,0.0919,0.0295,0.192,0.673,129.945,4.747333333,4,9,
0.54,0.847,11,-6.52,1,0.0297,0.303,0.109,0.62,148.936,220609,4,10,
0.435,0.889,11,-6.462,0,0.0474,0.0000238,0.87,0.344,93.896,198345,4,8,
0.288,0.758,6,-5.692,0,0.0371,0.00616,0.303,0.619,97.094,201726,4,10,
0.562,0.383,6,-15.474,1,0.0304,0.143,0.138,0.599,93.764,206760,3,10,
0.683,0.347,1,-10.392,1,0.0473,0.549,0.0907,0.437,80.009,157630,4,9,
0.411,0.91,2,-4.867,1,0.0392,0.000243,0.0931,0.613,106.675,230027,4,10,
0.49,0.974,8,-4.295,1,0.115,0.000546,0.336,0.257,108.946,229617,4,8,
0.374,0.35,10,-11.48,1,0.176,0.843,0.188,0.129,74.464,3.81156667,1,0,
0.633,0.194,8,-14.543,1,0.0729,0.885,0.111,0.421,143.376,348383,4,2,
0.523,0.76,5,-12.437,1,0.0325,0.103,0.0666,0.581,94.267,228267,4,10,
0.593,0.438,10,-13.451,0,0.028,0.883,0.317,0.758,130.225,136560,3,2,
0.809,0.463,11,-11.377,1,0.0396,0.256,0.109,0.364,111.98,4.98235,4,9,
0.748,0.411,8,-6.06,0,0.0489,0.0532,0.115,0.339,91.941,145052,4,5,
0.529,0.595,2,-13.696,1,0.0375,0.0227,0.0326,0.767,134.642,187827,4,2,
0.167,0.148,,-19.539,1,0.0347,0.955,0.111,0.04,76.412,2.7204,3,7,
0.543,0.927,,-5.209,1,0.0755,0.000342,0.0327,0.354,120.097,182333,4,10,
0.644,0.891,2,-5.147,1,0.0526,0.00111,0.118,0.504,110.007,239488,4,10,
0.467,0.432,7,-11.753,1,0.0283,0.175,0.226,0.238,142.642,271333,4,10,
0.514,0.387,6,-11.51,0,0.409,0.0753,0.0485,0.461,84.112,186812,4,5,
0.381,0.214,4,-11.629,1,0.0337,0.944,0.106,0.393,127.581,3.586,3,0,
0.762,0.516,5,-8.016,0,0.0969,0.0288,0.0966,0.721,156.97,158000,4,5,
0.357,0.943,4,-6.168,0,0.101,0.000547,0.145,0.482,147.217,209682,4,10,
0.576,0.931,7,-2.491,1,0.0563,0.00085,0.143,0.735,133.986,245747,4,10,
0.61,0.482,5,-9.137,1,0.137,0.299,0.0527,0.869,73.628,147013,4,9,
0.491,0.504,4,-13.581,0,0.0566,0.625,0.222,0.145,159.911,258771,4,6,
0.117,0.916,1,-3.281,1,0.0723,0.0000139,0.219,0.423,151.886,270205,4,1,
0.86,0.668,7,-8.512,1,0.221,0.423,0.096,0.237,128.096,240000,4,9,
0.766,0.526,10,-11.819,1,0.0392,0.784,0.0879,0.934,141.631,238000,4,10,
0.529,0.621,11,-6.018,1,0.0296,0.13,0.173,0.617,97.189,2.48178333,4,9,
0.697,0.919,7,-6.174,1,0.029,0.00694,0.203,0.943,118.341,256400,4,6,
0.407,0.932,11,-6.252,1,0.113,0.00363,0.229,0.173,102.954,235214,4,8,
0.564,0.753,5,-5.223,1,0.0433,0.00512,0.167,0.414,152.064,212547,4,10,
0.744,0.928,10,-5.628,0,0.0495,0.000409,0.132,0.507,123.014,171120,4,6,
0.539,0.788,9,-3.227,0,0.0396,0.0089,0.29,0.357,159.986,196173,4,10,
0.431,0.967,1,-4.555,1,0.114,0.00159,0.142,0.179,146.623,269440,4,6,
0.545,0.919,2,-7.679,1,0.0483,0.00269,0.0978,0.386,104.364,313573,4,10,
0.266,0.294,7,-11.938,0,0.0291,0.771,0.107,0.0397,137.941,811077,3,9,
0.645,0.329,2,-16.642,1,0.0419,0.239,0.375,0.184,128.099,3.545833333,4,0,
0.508,0.912,,-1.798,1,0.0827,0.0000975,0.0669,0.533,139.381,228587,4,10,
0.579,0.661,7,-4.011,1,0.0422,0.0675,0.303,0.374,144.909,287467,3,10,
0.521,0.527,2,-6.371,1,0.0296,0.0931,0.106,0.273,122.271,259627,4,10,
0.426,0.619,4,-11.501,0,0.0722,0.0000844,0.17,0.382,162.721,2.80733333,4,10,
0.449,0.854,3,-8.261,1,0.0431,0.0000462,0.246,0.408,152.142,309827,4,8,
0.698,0.609,,-6.993,1,0.0485,0.743,0.188,0.665,131.057,232413,4,2,
0.54,0.425,5,-9.577,0,0.0518,0.428,0.218,0.239,88.047,220543,4,9,
0.691,0.231,11,-10.512,1,0.0471,0.815,0.103,0.298,85.153,3.34355,4,0,
0.58,0.551,9,-9.898,0,0.0582,0.181,0.15,0.516,115.896,201213,4,10,
0.565,0.754,8,-11.636,0,0.0344,0.678,0.0756,0.922,135.01,6.05555,3,3,
0.616,0.551,7,-7.27,1,0.0249,0.155,0.099,0.618,75.027,216373,4,10,
0.546,0.878,7,-5.137,1,0.0525,0.0133,0.135,0.35,119.945,255400,4,1,
0.618,0.215,2,-12.8,1,0.04,0.759,0.109,0.214,90.004,290466,4,1,
0.639,0.859,1,-3.923,1,0.0554,0.18,0.0798,0.523,115.97,270104,4,10,
0.577,0.676,8,-11.931,1,0.0295,0.000895,0.0625,0.676,95.98,245267,4,8,
0.551,0.233,6,-18.251,0,0.0312,0.71,0.11,0.659,89.574,165187,4,6,
0.454,0.387,2,-10.159,0,0.0417,0.406,0.0783,0.686,97.995,205533,4,10,
0.632,0.8,5,-7.227,0,0.234,0.547,0.147,0.496,92.757,209833,4,5,
0.295,0.715,2,-6.533,1,0.0709,0.00212,0.242,0.242,86.937,199773,4,10,
0.77,0.656,10,-11.169,0,0.246,0.11,0.0793,0.788,98.82,253413,4,5,
0.717,0.245,7,-10.908,0,0.0493,0.665,0.385,0.502,83.554,214933,4,2,
0.778,0.399,1,-8.984,1,0.0858,0.0751,0.103,0.321,137.305,67720,4,1,
0.438,0.951,7,-5.192,0,0.0736,0.0000463,0.351,0.461,165.088,212927,4,8,
0.451,0.776,3,-11.756,0,0.0587,0.0518,0.11,0.609,177.953,331304,4,6,
0.617,0.375,5,-11.889,0,0.0319,0.742,0.109,0.117,151.983,387547,4,1,
0.565,0.768,2,-5.332,0,0.0382,0.0277,0.0725,0.58,124.006,223907,4,8,
0.62,0.835,9,-6.711,0,0.0319,0.273,0.113,0.699,99.022,225072,4,9,
0.589,0.797,9,-5.464,1,0.15,0.0289,0.383,0.232,102.489,291813,4,10,
0.443,0.858,8,-6.935,1,0.0378,0.000843,0.18,0.34,169.951,301533,4,8,
0.605,0.162,4,-12.932,0,0.0353,0.98,0.104,0.126,95.576,5.735216667,3,7,
0.624,0.26,1,-11.64,1,0.0621,0.904,0.0825,0.551,51,156933,4,2,
0.513,0.658,6,-7.185,0,0.0622,0.512,0.21,0.698,145.896,3.181333333,4,3,
0.533,0.905,2,-5.27,1,0.0754,0.00876,0.0698,0.486,108.9,2.84688333,4,10,
0.588,0.747,7,-6.064,1,0.0498,0.116,0.244,0.263,138.067,249000,4,10,
0.487,0.975,11,-4.974,1,0.105,0.0000747,0.201,0.526,139.964,202019,4,8,
0.621,0.375,5,-11.8,1,0.0297,0.701,0.122,0.508,132.611,219625,4,9,
0.482,0.829,5,-5.576,1,0.0437,0.00034,0.378,0.739,147.99,212307,4,10,
0.369,0.424,7,-5.431,1,0.0318,0.64,0.184,0.181,179.597,203991,4,9,
0.552,0.673,9,-4.9,0,0.0298,0.00553,0.114,0.174,89.993,224053,4,6,
0.548,0.347,7,-14.7,0,0.0362,0.771,0.124,0.498,117.75,6.90355,4,3,
0.421,0.935,8,-5.153,0,0.0697,0.000442,0.1,0.455,165.02,261240,4,10,
0.524,0.336,2,-8.034,1,0.0415,0.841,0.111,0.458,110.964,4.757883333,5,0,
0.436,0.876,10,-4.902,0,0.0647,0.0000333,0.205,0.512,157.044,255080,4,1,
0.5,0.47,,-7.996,1,0.0345,0.642,0.276,0.346,158.809,268400,4,10,
0.705,0.756,9,-5.274,0,0.0415,0.00477,0.0892,0.846,129.98,141875,4,10,
0.825,0.781,9,-4.732,0,0.107,0.0833,0.26,0.812,100.013,176012,4,9,
0.657,0.535,1,-9.715,1,0.047,0.000329,0.318,0.738,132.257,188830,4,8,
0.58,0.93,1,-5.719,1,0.12,0.0128,0.102,0.534,97.917,144267,4,8,
0.621,0.602,9,-7.796,0,0.0279,0.000316,0.134,0.609,116.011,230152,4,6,
0.754,0.92,3,-4.484,0,0.05,0.183,0.187,0.966,147.998,266133,4,1,
0.881,0.636,4,-13.617,0,0.156,0.0257,0.207,0.616,108.863,259427,4,5,
0.282,0.932,9,-4.701,1,0.0387,0.12,0.0692,0.536,190.08,255893,4,10,
0.449,0.958,6,-6.602,0,0.123,0.00000533,0.148,0.389,107.458,129373,4,6,
0.548,0.709,9,-6.557,0,0.0273,0.00678,0.104,0.191,119.998,224213,4,10,
0.65,0.6,9,-10.615,0,0.04,0.0278,0.811,0.795,110.016,180203,4,10,
0.494,0.969,6,-2.694,1,0.222,0.172,0.148,0.165,121.214,169808,4,10,
0.761,0.707,5,-6.208,0,0.0356,0.68,0.0969,0.893,113.976,208421,4,6,
0.553,0.939,3,-4.04,0,0.0795,0.000833,0.404,0.369,124.984,198840,4,8,
0.417,0.355,,-12.372,1,0.0599,0.847,0.113,0.0914,86.078,221025,4,9,
0.824,0.489,9,-5.669,0,0.0692,0.302,0.0887,0.771,86.815,160250,4,1,
0.349,0.336,4,-11.111,1,0.0292,0.723,0.154,0.062,112.966,111765,5,6,
0.921,0.768,,-5.735,1,0.311,0.507,0.053,0.775,103.713,652320,4,5,
0.601,0.728,4,-10.469,1,0.0436,0.378,0.368,0.862,137.99,5.09355,3,0,
0.353,0.495,8,-11.503,1,0.0344,0.000119,0.13,0.567,81.018,360600,4,2,
0.748,0.551,11,-6.12,1,0.0349,0.235,0.119,0.66,103.953,2.408883333,4,4,
0.15,0.843,9,-8.369,1,0.0439,0.000127,0.665,0.729,180.034,145932,4,1,
0.774,0.64,2,-7.949,1,0.0333,0.743,0.088,0.947,136.226,187933,4,1,
0.373,0.964,11,-7.925,0,0.0798,0.000152,0.109,0.207,83.958,312363,4,8,
0.42,0.831,7,-9.069,1,0.0754,0.00028,0.153,0.752,120.867,218173,4,10,
0.428,0.98,11,-2.975,0,0.443,0.0734,0.127,0.423,92.035,168654,4,5,
0.616,0.91,,-3.004,1,0.0386,0.0459,0.343,0.693,144.072,252040,4,10,
0.797,0.631,3,-3.818,0,0.0786,0.0904,0.0998,0.288,129.915,3.07021667,4,9,
0.418,0.761,9,-8.285,1,0.0557,0.295,0.36,0.467,152.472,298693,4,10,
0.563,0.664,9,-5.044,1,0.154,0.335,0.0849,0.688,166.928,2.96911667,4,9,
0.463,0.847,11,-6.776,0,0.0511,0.0307,0.117,0.625,114.962,187783,4,9,
0.749,0.535,4,-6.785,1,0.0336,0.0131,0.0982,0.601,123.042,196607,4,9,
0.709,0.337,7,-13.14,1,0.106,0.447,0.846,0.387,68,320333,4,5,
0.283,0.41,4,-14.35,1,0.0423,0.00106,0.109,0.0612,91.127,323430,4,10,
0.653,0.964,9,-4.261,0,0.0582,0.00316,0.144,0.87,126.928,209267,4,9,
0.45,0.914,6,-6.741,1,0.0647,0.0106,0.101,0.336,124.42,208293,4,10,
0.522,0.881,7,-5.231,1,0.0847,0.00303,0.0939,0.369,130.084,232200,4,10,
0.266,0.831,4,-9.07,1,0.0453,0.000862,0.0555,0.778,175.514,163693,4,10,
0.754,0.795,7,-9.793,0,0.0384,0.0186,0.0852,0.21,122.007,259606,4,9,
0.562,0.494,4,-8.13,0,0.0278,0.864,0.153,0.383,144.104,215516,4,9,
0.163,0.191,10,-20.924,1,0.0365,0.937,0.0961,0.0335,105.104,220630,3,1,
0.823,0.66,,-4.698,1,0.103,0.00681,0.269,0.956,114.489,228493,4,9,
0.65,0.63,11,-6.787,0,0.04,0.278,0.119,0.74,107.69,218747,4,2,
0.475,0.844,1,-4.448,0,0.0622,0.00012,0.221,0.554,156.136,246933,4,10,
0.375,0.927,6,-5.385,0,0.123,0.000111,0.193,0.414,183.998,183040,4,8,
0.713,0.146,3,-14.163,1,0.54,0.784,0.212,0.474,89.267,66490,5,5,
0.676,0.537,10,-7.974,1,0.0333,0.51,0.0898,0.388,88.001,181569,4,9,
0.667,0.755,9,-7.246,1,0.069,0.0966,0.0523,0.883,109.535,4.77033333,4,10,
0.408,0.943,,-5.247,1,0.129,0.0058,0.343,0.16,98.089,152252,4,8,
0.494,0.958,4,-7.765,0,0.0511,0.0361,0.387,0.313,145.055,352943,4,8,
0.425,0.925,7,-6.246,1,0.105,0.0000222,0.0973,0.313,118.066,282978,4,8,
0.605,0.772,1,-6.679,0,0.0262,0.298,0.131,0.836,129.99,280360,4,10,
0.586,0.795,11,-8.71,1,0.258,0.354,0.187,0.694,94.101,314600,4,5,
0.939,0.682,11,-5.931,1,0.306,0.00152,0.0552,0.584,130.022,2.5801,4,9,
0.472,0.826,9,-3.938,0,0.0594,0.000617,0.187,0.132,122.326,385920,4,10,
0.349,0.981,2,-3.228,0,0.141,0.0000258,0.343,0.207,160.042,202640,4,10,
0.645,0.732,3,-5.089,1,0.0453,0.00853,0.198,0.708,95.02,2.716216667,4,4,
0.522,0.769,10,-5.841,0,0.191,0.104,0.0643,0.793,189.803,240307,4,10,
0.621,0.962,2,-6.469,1,0.0454,0.282,0.132,0.653,143.99,229489,4,6,
0.597,0.617,8,-7.482,0,0.282,0.463,0.66,0.889,97.923,4.592,4,9,
0.688,0.544,7,-11.393,0,0.037,0.576,0.0894,0.633,135.231,240693,4,10,
0.614,0.614,4,-7.497,0,0.0314,0.104,0.104,0.598,146.03,3.211333333,4,4,
0.613,0.86,4,-4.065,1,0.0425,0.0247,0.438,0.638,93.042,177227,4,10,
0.349,0.0929,6,-15.315,1,0.0529,0.944,0.0864,0.293,176.177,3.96591667,3,0,
0.484,0.754,6,-6.326,0,0.0383,0.00011,0.123,0.399,124.971,265467,4,10,
0.359,0.983,2,-3.69,0,0.0864,0.0000909,0.335,0.486,193.042,239560,4,10,
0.681,0.929,8,-4.071,1,0.0324,0.214,0.0375,0.793,109.982,229933,4,9,
0.274,0.915,1,-5.259,0,0.167,0.0139,0.161,0.419,169.161,203707,4,10,
0.439,0.682,4,-9.044,1,0.042,0.113,0.973,0.345,142.113,4.33955,4,9,
0.636,0.616,7,-9.267,1,0.0589,0.0521,0.192,0.48,82.99,207030,4,10,
0.577,0.604,5,-5.703,1,0.0495,0.000218,0.477,0.637,167.719,263440,4,10,
0.811,0.46,2,-5.924,1,0.351,0.0694,0.13,0.4,141.937,216373,4,5,
0.571,0.158,2,-16.835,1,0.0779,0.964,0.108,0.308,114.315,3.068233333,4,7,
0.658,0.12,,-9.397,0,0.136,0.983,0.101,0.278,104.208,198213,3,9,
0.282,0.648,9,-7.604,0,0.0291,0.012,0.216,0.117,91.536,331427,4,1,
0.516,0.7,2,-5.621,1,0.0631,0.0182,0.689,0.343,147.914,203187,4,10,
0.631,0.547,4,-8.488,0,0.119,0.35,0.113,0.719,164.988,204030,4,9,
0.471,0.811,4,-3.956,1,0.0389,0.000125,0.117,0.37,141.967,182307,4,6,
0.692,0.102,,-11.721,1,0.061,0.818,0.337,0.475,114.136,336863,4,2,
0.415,0.774,1,-6.445,1,0.041,0.00403,0.205,0.466,87.415,320522,4,10,
0.483,0.603,4,-9.907,1,0.0386,0.348,0.0911,0.0907,179.392,173107,3,10,
0.799,0.73,,-6.648,1,0.0414,0.29,0.975,0.898,120.336,268650,4,2,
0.315,0.565,11,-8.667,1,0.0369,0.65,0.107,0.0617,99.49,3.48,4,0,
0.407,0.967,,-7.104,1,0.0666,0.000316,0.089,0.227,180.027,203373,4,8,
0.412,0.51,6,-8.276,0,0.0298,0.348,0.0787,0.23,147.904,281093,4,6,
0.579,0.304,2,-14.271,0,0.0301,0.751,0.129,0.479,129.867,4.34655,4,0,
0.553,0.717,7,-5.857,1,0.0318,0.0000648,0.0385,0.318,127.947,233267,4,9,
0.845,0.681,6,-4.693,0,0.111,0.265,0.0519,0.654,86.001,183694,4,10,
0.293,0.877,7,-4.172,1,0.0486,0.0849,0.0787,0.87,171.47,317784,4,6,
0.674,0.335,7,-13.903,1,0.0444,0.885,0.101,0.662,168.741,2.303233333,3,7,
0.706,0.679,7,-5.392,0,0.0803,0.543,0.371,0.5,113.038,195699,4,5,
0.908,0.663,1,-4.032,1,0.359,0.0163,0.287,0.399,119.983,178973,4,5,
0.556,0.969,2,-3.778,1,0.0402,0.000119,0.378,0.325,103.994,441035,4,8,
0.694,0.907,9,-3.854,1,0.0458,0.0765,0.13,0.573,114.98,290600,4,5,
0.247,0.913,7,-2.437,1,0.0388,0.0418,0.257,0.34,91.157,382267,4,6,
0.489,0.994,1,-2.236,0,0.113,0.0000205,0.333,0.218,90.015,243000,4,8,
0.276,0.449,4,-11.428,1,0.0375,0.00782,0.108,0.278,101.687,230987,4,6,
0.849,0.48,9,-5.835,1,0.226,0.612,0.295,0.677,142.021,2.64105,4,9,
0.484,0.956,5,-6.388,0,0.0357,0.0000259,0.257,0.643,145.004,219541,4,10,
0.59,0.776,6,-5.272,0,0.0705,0.00705,0.414,0.81,159.946,3.276883333,4,9,
0.737,0.649,8,-7.709,0,0.142,0.816,0.201,0.579,139.961,282067,4,5,
0.543,0.606,6,-10.46,0,0.0361,0.312,0.374,0.833,86.537,340680,4,10,
0.528,0.563,2,-6.975,1,0.041,0.706,0.149,0.652,168.403,254467,3,2,
0.365,0.466,2,-7.514,1,0.0418,0.161,0.106,0.487,95.163,251267,4,10,
0.708,0.186,9,-8.953,0,0.042,0.868,0.0779,0.322,72.541,156106,4,9,
0.765,0.563,4,-9.765,1,0.0397,0.422,0.142,0.703,93.073,149423,4,6,
0.529,0.861,11,-10.581,1,0.0784,0.292,0.314,0.387,96.52,142507,4,6,
0.191,0.948,9,-3.496,0,0.217,0.0000278,0.0945,0.215,150.753,175667,4,10,
0.339,0.34,11,-14.377,1,0.0385,0.657,0.375,0.117,142.362,419133,4,10,
0.534,0.979,9,-3.645,0,0.0987,0.00292,0.256,0.236,119.993,244000,4,10,
0.416,0.623,5,-7.898,1,0.045,0.121,0.27,0.194,130.175,311625,4,6,
0.49,0.715,7,-5.549,1,0.0476,0.386,0.311,0.866,130.726,145747,4,10,
0.361,0.954,2,-4.097,1,0.0575,0.00002,0.309,0.176,172.944,232853,4,10,
0.55,0.765,7,-8.684,1,0.0287,0.00000476,0.132,0.419,139.46,252533,4,10,
0.57,0.916,8,-6.899,1,0.043,0.00439,0.135,0.359,100.041,183008,4,8,
0.375,0.0412,,-21.749,1,0.0444,0.995,0.107,0.127,100.74,171000,4,5,
0.45,0.977,1,-4.172,1,0.122,0.00000426,0.414,0.256,130.009,266222,3,8,
0.533,0.589,,-6.14,1,0.0299,0.0405,0.111,0.351,140.049,208418,4,10,
0.695,0.864,9,-9.509,1,0.0344,0.0935,0.222,0.962,129.613,224707,4,2,
0.781,0.594,,-6.959,0,0.0485,0.0136,0.162,0.0628,129.895,178154,4,5,
0.479,0.325,4,-14.01,0,0.0333,0.161,0.104,0.222,132.046,211216,4,1,
0.551,0.58,,-8.581,1,0.0363,0.493,0.213,0.473,63.321,247224,4,2,
0.621,0.118,2,-14.222,1,0.0393,0.993,0.12,0.474,93.082,190041,4,2,
0.443,0.727,4,-7.951,1,0.145,0.263,0.169,0.566,160.82,253333,4,10,
0.445,0.159,,-14.159,1,0.0419,0.924,0.113,0.155,68.868,5.01885,4,7,
0.546,0.351,11,-8.279,1,0.0271,0.701,0.0997,0.283,105.79,211867,3,1,
0.753,0.591,9,-7.091,0,0.045,0.0741,0.108,0.563,101.941,2.742216667,4,9,
0.68,0.826,,-5.487,1,0.0309,0.0212,0.543,0.644,118.051,215627,4,9,
0.812,0.645,,-5.044,1,0.0377,0.499,0.0793,0.724,139.974,209824,4,10,
0.814,0.569,9,-13.422,0,0.0796,0.554,0.132,0.514,120.005,250000,4,9,
0.552,0.947,2,-4.671,1,0.15,0.000652,0.0637,0.465,127.631,282747,4,10,
0.916,0.537,9,-9.303,0,0.0358,0.241,0.0549,0.908,106.951,252907,4,2,
0.643,0.648,8,-5.734,1,0.0428,0.0139,0.162,0.552,139.997,174921,4,9,
0.211,0.109,,-18.827,1,0.0371,0.882,0.0965,0.144,106.225,3.14015,4,7,
0.659,0.281,7,-13.564,1,0.0268,0.189,0.112,0.518,108.287,3.35645,4,4,
0.571,0.767,2,-5.16,1,0.287,0.336,0.0809,0.605,93.421,2.69473333,4,9,
0.761,0.6,7,-7.348,1,0.0765,0.269,0.108,0.557,96.015,199036,4,6,
0.475,0.807,3,-3.959,0,0.0332,0.0136,0.109,0.731,145.179,200000,4,10,
